SMILES,boiling_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
ClC(=O)C1=CC=CC(=C1)N(=O)=O,276.5,3,0,2,0.166667,1.9738,43.2799,184.988,11.5617,197,15,56,62,5.44444,2.72222
FC(F)(Br)C=C,42,0,0,1,0.2,2.1601,24.071,155.939,17.3265,28,3,24,22,4.3125,1.375
CCOC(=O)C1=CC=CC(Cl)=C1O,269.5,3,1,2,0.153846,2.2223,49.0733,200.024,9.092,246,18,60,68,5.69444,3.08333
CCCCCCCC(Cl)=O,195.6,1,0,6,0.666667,3.1123,44.236,162.081,6.48325,158,7,36,34,4.61111,2.58333
COC(=O)C(F)(F)C(F)(F)C(F)(F)F,80,2,0,2,0.153846,1.9923,27.965,228.002,13.4119,270,26,70,83,9.54861,2.95833
OCC(Cl)Cl,146,1,1,1,0.25,0.7824,22.5798,113.964,12.6627,18,2,16,14,3.36111,1.33333
OCC1=CC(Cl)=CC=C1,237,1,1,1,0.111111,1.8323,37.3748,142.019,8.87616,88,9,40,43,3.47222,2.16667
CC(=O)CCl,119,1,0,1,0.25,0.8142,21.401,92.0029,9.20029,18,2,16,14,3.36111,1.33333
FC(F)(Cl)CBr,68.4,0,0,1,0.2,2.2129,24.594,177.9,22.2375,28,3,24,22,4.3125,1.375
FC(Cl)Cl,8.9,0,0,0,0,1.7171,16.602,101.944,20.3888,9,0,12,9,3.11111,1
CS(Cl)(=O)=O,162,2,0,0,0,0.1848,20.6968,113.954,14.2443,16,0,20,16,4.0625,1
CC[Si](F)(CC)CC,110,0,0,3,0.428571,2.9611,38.305,134.093,5.83012,64,9,32,34,4.8125,2.125
FCCCCCCl,143.2,0,0,4,0.666667,2.365,30.546,124.046,7.29679,56,4,22,20,3.25,2
CC(CCl)CCCl,168.5,0,0,3,0.5,2.4902,35.221,140.016,8.23623,50,5,24,23,3.86111,1.91667
FC(F)(Br)C(F)(Cl)C=C,99.5,0,0,2,0.25,3.0647,33.763,221.906,18.4922,82,12,42,46,6.375,1.9375
FC(F)(F)CS,34.5,1,1,0,0,1.4785,19.908,115.991,12.8879,28,3,24,22,4.3125,1.375
CC(O)C(F)(F)C(F)(F)F,84,1,1,1,0.111111,1.5648,22.6828,164.026,10.9351,108,15,48,54,7.23611,2.0625
C\C=C(/Cl)CCl,130.5,0,0,1,0.2,2.3678,30.33,123.985,10.3321,31,4,20,19,3.61111,1.66667
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,29.2,0,0,2,0.125,4.0169,26.951,287.981,16.94,436,36,92,112,12.3125,3.25
CC(=O)OC1=C(Cl)C=C(Cl)C=C1,244.5,2,0,1,0.0833333,2.9187,47.771,203.974,11.3319,202,14,56,61,5.44444,2.69444
ClC1=CC=CC(Cl)=C1Cl,218.5,0,0,0,0,3.6468,41.472,179.93,14.9942,82,11,42,47,4.08333,2.05556
ClC(=O)OCC=C,109.5,2,0,2,0.333333,1.5478,27.398,119.998,9.99982,52,4,24,22,3.86111,1.83333
FC(F)=C(Cl)Cl,19,0,0,0,0,2.5296,20.948,131.935,21.9891,29,4,22,21,4.22222,1.44444
ClCCCCBr,175,0,0,3,0.6,2.4003,33.748,169.95,12.1393,35,3,18,16,3,1.75
CC(C)(Cl)Br,95,0,0,0,0,2.3562,28.859,155.934,14.1758,16,0,20,16,4.0625,1
Cl[SiH](Cl)C1=CC=CC=C1,181,0,0,1,0.111111,1.5917,44.931,175.962,11.7308,88,9,40,43,3.47222,2.11111
COCC(Cl)=O,112.5,2,0,2,0.4,0.3982,22.736,107.998,9.81798,32,3,20,18,3.61111,1.58333
CC1=CC(=CC=C1)C(Cl)=O,219.5,1,0,1,0.1,2.37402,41.3625,154.019,9.05991,117,11,46,50,4.33333,2.27778
CC(F)(Cl)Cl,32,0,0,0,0,2.1072,21.219,115.96,14.4949,16,0,20,16,4.0625,1
ClCCCC(Cl)=O,173.5,1,0,3,0.5,1.7708,30.814,139.98,10.7677,52,4,24,22,3.86111,1.83333
FC1=C(F)C(F)(F)C1(F)F,5.5,0,0,0,0,2.4212,19.136,161.99,16.199,103,15,56,71,6.34722,2.00694
CC(O)CCl,127,1,1,1,0.25,0.606,22.4008,94.0185,7.83488,18,2,16,14,3.36111,1.33333
CCCCC[Si](Cl)(Cl)Cl,172,0,0,4,0.5,3.8319,47.645,203.97,10.1985,104,6,36,34,5.0625,2.125
